,,,,,,,,
,DOI: 10.1016/j.yrtph.2021.104964,CONNAMIC-ALDEHYDE,cinamaldehído,,,,,O=C/C=C/c1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,(Z)-LINALOL-OXIDE,,,,,,
,DOI: 10.1016/j.yrtph.2021.104964,(Z)-LINALOOL-OXIDE,,,,,,
,DOI: 10.1016/j.yrtph.2021.104964,BENZYL-ALCOHOL,alcohol bencílico,,,,,OCc1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,METHYL-CINNAMATE,metil cinamato,,,,,COC(=O)/C=C/c1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,COUMARIN,cumarina,,,,,C=c2ccc1ccccc1o2
,DOI: 10.1016/j.yrtph.2021.104964,CINNAMYL-HEXANOATE,cinamil hexanoato,,,,,
,DOI: 10.1016/j.yrtph.2021.104964,LINALYL-ACETATE,acetato de linalilo,,,,,C=CC(C)(CC/C=C(C)/C)OC(C)=O
,DOI: 10.1016/j.yrtph.2021.104964,BETA-CAROTENE,betacaroteno,,,,,C/C(=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C1=C(C)\CCCC1(C)C)/C=C/C=C(C)/C=C/C2=C(C)/CCCC2(C)C
,DOI: 10.1016/j.yrtph.2021.104964,OCIMENE,,,,,,
,DOI: 10.1016/j.yrtph.2021.104964,(E)-2-HEXENOL,,,,,,
,https://doi.org/10.1021/acs.jafc.1c04195,ethyl 3-methylbutanoate,,,fruity,,,
,https://doi.org/10.1021/acs.jafc.1c04195,2-acetylthiazole,,,grain-like,,,CC(=O)/C1=N/CCS1
,https://doi.org/10.1021/acs.jafc.1c04195,"3-methylnonane-2,4-dione",,,hay,,,CCCCCC(=O)C(C)C(C)=O
,https://doi.org/10.1021/acs.jafc.1c04195,2-phenylethanol,,,"floral, rose",,,OCCc1ccccc1
,https://doi.org/10.1021/acs.jafc.1c04195,β-damascenone,,,cooked apple,,,C/C=C/C(=O)/C1=C(C)/C=C\CC1(C)C
,https://doi.org/10.1021/acs.jafc.1c04195,oct-1-en-3-one,,,"earthy, mushroom",,,
,https://doi.org/10.1021/acs.jafc.1c04195,"(2E,4E)-nona-2,4-dienal",,,fatty,,,
,https://doi.org/10.1021/acs.jafc.1c04195,butanoic acid,,,rancid,,,
,https://doi.org/10.1021/acs.jafc.1c04195,HDMF,,,caramel,,,
,https://doi.org/10.1021/acs.jafc.1c04195,"butane-2,3-dione",,,butter,,,
,https://doi.org/10.1021/acs.jafc.1c04195,α-pinene,,,pine,,,
,https://doi.org/10.1021/acs.jafc.1c04195,2-acetyl-1-pyrroline,,,roasty,,,
,https://doi.org/10.1021/acs.jafc.1c04195,"(5Z)-octa-1,5-di",,,geranium,,,
,https://doi.org/10.1021/acs.jafc.1c04195,dimethyl trisulfide,,,sulfurous,,,
,https://doi.org/10.1021/acs.jafc.1c04195,ethyl octanoate,,,fuity,,,
,https://doi.org/10.1021/acs.jafc.1c04195,2-isopropyl-3-methoxypyrazine,,,earthy,,,
,https://doi.org/10.1021/acs.jafc.1c04195,acetic acid,,,vinagre,,,
,https://doi.org/10.1021/acs.jafc.1c04195,3-(methylsulfonyl)propanal,,,potato,,,
,https://doi.org/10.1021/acs.jafc.1c04195,(2E)-non-2-enal,,,green,,,
,https://doi.org/10.1021/acs.jafc.1c04195,2-methylpropanoic acid,,,rancid,,,
,https://doi.org/10.1021/acs.jafc.1c04195,"(2E,6Z)-nona-2,6-dienal",,,green,,,
,https://doi.org/10.1021/acs.jafc.1c04195,2-phenylacetaldehyde,,,"floral, honey",,,
,https://doi.org/10.1021/acs.jafc.1c04195,2-phenylethanol,,,"floral, rose",,,
,https://doi.org/10.1021/acs.jafc.1c04195,β-ionone,,,"floral, violets",,,
,https://doi.org/10.1021/acs.jafc.1c04195,"trans-4,5-epoxy-(E)-2-decena",,,metallic,,,
,https://doi.org/10.1021/acs.jafc.1c04195,γ-nonalactone,,,coconut,,,
,https://doi.org/10.1021/acs.jafc.1c04195,4-allyl-2-methoxyphenol,,,clove,,,
,https://doi.org/10.1021/acs.jafc.1c04195,sotolon,,,maple,,,
,https://doi.org/10.1021/acs.jafc.1c04195,phenylacetic acid,,,honey,,,
,https://doi.org/10.1021/acs.jafc.1c04195,4-hydroxy-3-methoxybenzaldehyde,,,vanilla,,,
,10.1038/s41598-018-31204-z ,2-acetyl-1-pyrroline (2AP),,,arroz,,,
,10.1038/s41598-021-89969-9,Isoamylacetat,,,"Banana, pear",,123-92-2,
,10.1038/s41598-021-89969-9,Cineol,,,Eucalyptus,,470-82-6,
,10.1038/s41598-021-89969-9,Geraniol,,,"Fruity, rose",,106-24-1,
